Stamina RPG 3/[11] Moon Trance/,[11] [128] Moon Trance,dance-single,Challenge,11
Stamina RPG 3/[11] The Human Spirit/,[11] [140] The Human Spirit,dance-single,Challenge,11
Stamina RPG 3/[11] The Island Pt.1/,[11] [126] The Island,dance-single,Challenge,11
Stamina RPG 3/[11] The Other Side/,[11] [138] The Other Side,dance-single,Challenge,11
Stamina RPG 3/[11] Till Tears Overflow/,[11] [135] Till Tears Overflow,dance-single,Challenge,11
Stamina RPG 3/[12] Airis/,[12] [149] Airis,dance-single,Challenge,12
Stamina RPG 3/[12] Cloud Nine/,[12] [160] Cloud Nine,dance-single,Challenge,12
Stamina RPG 3/[12] Crystal Moonlight/,[12] [172] Crystal Moonlight,dance-single,Challenge,12
Stamina RPG 3/[12] Electric Angel/,[12] [150] Electric Angel,dance-single,Challenge,12
Stamina RPG 3/[12] Go Beat Crazy/,[12] [155] Go Beat Crazy,dance-single,Challenge,12
Stamina RPG 3/[12] Listen Feel Enjoy/,[12] [143] Listen Feel Enjoy,dance-single,Challenge,12
Stamina RPG 3/[12] Pamela/,[12] [155] Pamela,dance-single,Challenge,12
Stamina RPG 3/[12] Pernicious Deed/,[12] [145] Pernicious Deed,dance-single,Challenge,12
Stamina RPG 3/[12] R.E.M. III/,[12] [170] R.E.M. III,dance-single,Challenge,12
Stamina RPG 3/[12] Sands of Evolution (Paul Vinitsky Remix)/,[12] [140] Sands of Evolution,dance-single,Challenge,12
Stamina RPG 3/[12] September Rain/,[12] [134] September Rain,dance-single,Challenge,12
Stamina RPG 3/[12] Speedy Runner/,[12] [160] Speedy Runner,dance-single,Challenge,12
Stamina RPG 3/[12] Stay Alive (Jun Kuroda Bootleg Remix)/,[12] [174] Stay Alive,dance-single,Challenge,12
Stamina RPG 3/[12] The Final Hour/,[12] [165] The Final Hour,dance-single,Challenge,12
Stamina RPG 3/[12] The Ones We Loved/,[12] [136] The Ones We Loved,dance-single,Challenge,12
Stamina RPG 3/[12] Theme From the Rock/,[12] [139] Theme From the Rock,dance-single,Challenge,12
Stamina RPG 3/[12] Unfolding/,[12] [165] Unfolding,dance-single,Challenge,12
Stamina RPG 3/[12] Visions/,[12] [138] Visions,dance-single,Challenge,12
Stamina RPG 3/[12] Vortex Infinitum/,[12] [172] Vortex Infinitum,dance-single,Challenge,12
Stamina RPG 3/[12] Wheelpower & Go/,[12] [156] Wheelpower & Go,dance-single,Challenge,12
Stamina RPG 3/[13] A parenthesis in eternity/,[13] [180] A Parenthisis in Eternity,dance-single,Challenge,13
Stamina RPG 3/[13] Ashen Paradise/,[13] [180] Ashen Paradise,dance-single,Challenge,13
Stamina RPG 3/[13] Beamsabre Beat Zero v2/,[13] [163] Beamsabre Beat Zero v2,dance-single,Challenge,13
Stamina RPG 3/[13] Blood Error/,[13] [157] Blood Error,dance-single,Challenge,13
Stamina RPG 3/[13] Degeneration/,[13] [182] Degeneration,dance-single,Challenge,13
Stamina RPG 3/[13] Deja Vu/,[13] [154] Deja Vu,dance-single,Challenge,13
Stamina RPG 3/[13] Dreamy and Boisterous Holy Land/,[13] [165] Dreamy and Boisterous Holy Land,dance-single,Challenge,13
Stamina RPG 3/[13] Ecstasy/,[13] [138] Ecstasy,dance-single,Challenge,13
Stamina RPG 3/[13] Elysium/,[13] [140] Elysium,dance-single,Challenge,13
Stamina RPG 3/[13] Killing My Love/,[13] [156] Killing My Love,dance-single,Challenge,13
Stamina RPG 3/[13] Mental Hotline/,[13] [146] Mental Hotline,dance-single,Challenge,13
Stamina RPG 3/[13] Ninelie (REDSHiFT x Vesuvia Remix)/,[13] [178] Ninelie,dance-single,Challenge,13
Stamina RPG 3/[13] No Shields/,[13] [132] No Shields,dance-single,Challenge,13
Stamina RPG 3/[13] Not Found/,[13] [170] Not Found,dance-single,Challenge,13
Stamina RPG 3/[13] Over Again/,[13] [150] Over Again,dance-single,Challenge,13
